"CATEGORY","TOTAL_ORDERS","TOTAL_REVENUE","AVG_ITEM_PRICE","MAX_ITEM_PRICE","MIN_ITEM_PRICE","TOTAL_FREIGHT","AVG_FREIGHT"
"computers",177,218684.14,1098.92,6729,34.5,9665.62,48.57
"small_appliances_home_oven_and_coffee",72,46589.56,638.21,2899,10.19,2656.34,36.39
"home_appliances_2",227,107953.95,467.33,2350,13.9,10254.57,44.39
"agro_industry_and_commerce",177,70566.1,342.55,2990,12.99,5637.2,27.37
"musical_instruments",611,184315.74,283.13,4399.87,4.9,17871.38,27.45
"small_appliances",609,182754.12,277.74,4799,6.5,15354.35,23.33
"fixed_telephony",212,55315.21,216.92,1790,6,4501.33,17.65
"construction_tools_safety",159,38773.22,211.88,3099.9,8.9,3730.8,20.39
"watches_gifts",5495,1166176.98,199.04,3999.9,8.99,98156.14,16.75
"furniture_bedroom",90,19051.8,184.97,650,6.9,4327.42,42.01
"air_conditioning",246,53323.56,184.51,1599,10.9,6530.99,22.6
"kitchen_dining_laundry_garden_furniture",241,45531.98,166.18,1320,9.6,11540.99,42.12
"cool_stuff",3559,610204.1,164.12,3109.99,7,81476.79,21.91
"office_furniture",1254,268154.31,160.76,1189.9,25,67057.05,40.2
"music",38,6034.35,158.8,1165.97,3.85,690.51,18.17
