"STATE_FULL_NAME","TOTAL_ORDERS","TOTAL_REVENUE","AVG_ORDER_VALUE","ORDER_SHARE_PCT"
"S?o Paulo",40501,5067633.16,109.1,41.98
"Rio de Janeiro",12350,1759651.13,124.42,12.8
"Minas Gerais",11354,1552481.83,120.2,11.77
"Rio Grande do Sul",5345,728897.47,118.83,5.54
"Paran?",4923,666063.51,117.91,5.1
"Santa Catarina",3546,507012.13,123.75,3.68
"Bahia",3256,493584.14,134.02,3.37
"Distrito Federal",2080,296498.41,125.9,2.16
"Esp?rito Santo",1995,268643.45,120.74,2.07
"Goi?s",1957,282836.7,124.21,2.03
"Pernambuco",1593,251889.49,144.27,1.65
"Cear?",1279,219757.38,154.11,1.33
"Par?",946,174470.59,165.53,0.98
"Mato Grosso",886,152191.62,146.76,0.92
"Maranh?o",717,117009.38,146.26,0.74
"Mato Grosso do Sul",701,115429.97,142.33,0.73
"Para?ba",517,112586.82,192.13,0.54
"Piau?",476,84721,161.99,0.49
"Rio Grande do Norte",474,82105.66,157.59,0.49
"Alagoas",397,78855.72,184.67,0.41
"Sergipe",335,56574.19,150.86,0.35
"Tocantins",274,48402.51,156.14,0.28
"Rond?nia",243,45682.76,167.34,0.25
"Amazonas",145,22155.84,135.93,0.15
"Acre",80,15930.97,175.07,0.08
"Amap?",67,13374.81,165.12,0.07
"Roraima",41,7057.47,153.42,0.04
