"SELLER_ID","SELLER_CITY","SELLER_STATE","TOTAL_ORDERS","TOTAL_REVENUE","AVG_ITEM_PRICE","AVG_REVIEW_SCORE","LATE_DELIVERIES"
"4869f7a5dfa277a7dca6462dcf3b52b2","guariba","SP",991,213717.93,197.16,4.12,134
"53243585a1d6dc2643021fd1853d8905","lauro de freitas","BA",302,201657.09,543.55,4.11,16
"4a3ca9315b744ce9f8e9374361493884","ibitinga","SP",1548,186153.46,101.83,3.84,204
"7c67e1448b00f6e969d365cea6b010ab","itaquaquecetuba","SP",857,176624.88,138.31,3.42,113
"fa1c13f2614d7b5c4749cbc52fecda94","sumare","SP",509,176232.43,325.75,4.34,58
"7e93a43ef30c4f03f38b393420bc753a","barueri","SP",293,162644.88,509.86,4.38,17
"da8622b14eb17ae2831f4ac5b9dab84a","piracicaba","SP",1189,156644.69,103.81,4.13,100
"7a67c85e85bb2ce8582c35f2203ad736","sao paulo","SP",1014,133199.2,120.65,4.28,62
"1025f0e2d44d7041d6cf58b6550e0bfa","sao paulo","SP",800,131495.19,97.12,3.9,133
"955fee9216a65b617aa5c0531780ce60","sao paulo","SP",1101,122944.52,90.14,4.12,112
